#mpa_vJun23_CHOCOPhlAnSGB_202307																																																																																																																				
clade_name	SRR22212915	SRR22212916	SRR22212917	SRR22212919	SRR22212920	SRR22212921	SRR22212922	SRR22212927	SRR22212929	SRR22212932	SRR22212934	SRR22212935	SRR22212936	SRR22212938	SRR22212939	SRR22212940	SRR22212941	SRR22212944	SRR22212945	SRR22212946	SRR22212947	SRR22212950	SRR22212951	SRR22212953	SRR22212954	SRR22212957	SRR22212958	SRR22212960	SRR22212967	SRR22212971	SRR22212972	SRR22212973	SRR22212974	SRR22212977	SRR22212978	SRR22212981	SRR22212982	SRR22212984	SRR22212985	SRR22212987	SRR22212988	SRR22212990	SRR22212993	SRR22212994	SRR22212996	SRR22212997	SRR22213000	SRR22213002	SRR22213003	SRR22213004	SRR22213005	SRR22213008	SRR22213011	SRR22213015	SRR22213018	SRR22213019	SRR22213021	SRR22213022	SRR22213025	SRR22213030	SRR22213032	SRR22213034	SRR22213035	SRR22213037	SRR22213038	SRR22213040	SRR22213043	SRR22213044	SRR22213046	SRR22213049	SRR22213051	SRR22213053	SRR22213054	SRR22213055	SRR22213059	SRR22213065	SRR22213066	SRR22213068	SRR22213073	SRR22213074	SRR22213075	SRR22213078	SRR22213079	SRR22213080	SRR22213082	SRR22213083	SRR22213084	SRR22213085	SRR22213087	SRR22213088	SRR22213090	SRR22213091	SRR22213093	SRR22213094	SRR22213096	SRR22213098	SRR22213099	SRR22213101	SRR22213103	SRR22213104	SRR22213105	SRR22213107	SRR22213108	SRR22213109	SRR22213110	SRR22213114	SRR22213116	SRR22213117	SRR22213119	SRR22213122	SRR22213123	SRR22213124	SRR22213125	SRR22213126	SRR22213129	SRR22213131
k__Bacteria|p__Firmicutes|c__CFGB1705	0.0823	0	0	0	0.44347	0	0	0	0	0	0	0	0	0.10131	0	0	0	0	0	0	0	0.22741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97599	1.3908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35868
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	0.00314	0	0	0	0	0	0.35584	0	0	0	0	0	0	9.08582	0	0	1.22557	0	0	0.70062	0	0	0.15314	0	0	0	0	0	0	0	3.1436	0	0	0	0	0	0.16591	0	0	0.19533	0	0.82311	0	0	0	0	0.20466	0.70499	0	1.71842	2.04705	0	0	0	0	0.19911	0	0	0	0.61372	0	0	0.46259	0	0	0	0	0.96331	0	0	0	0.2135	0.23014	0.06446	0	0	3.21166	0	0	0	0.77718	0	0.17726	0	0	0.23272	0.64837	0	0	0.14272	0	0	0	5.08075	2.66286	0	0.12897	0	0	0	0	0	0.06746	0	0	0.68429	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales	84.82385	23.81156	97.60689	11.50296	73.62985	88.97748	44.25132	55.57332	30.36512	12.27892	90.76241	42.23317	86.75532	21.78914	4.80666	76.82278	2.09706	42.3377	0	16.11427	41.39851	0.24212	2.69385	18.66454	0	0	7.18986	0	6.61368	0	13.27027	30.0933	0	86.74093	0	20.78996	36.88559	53.53842	0	15.05442	76.98811	24.36052	17.86397	0	78.18851	0	46.60485	64.86055	0	13.88832	6.49702	43.03407	0	0	0	2.22012	42.34309	0	0	10.51194	3.85015	0	20.02	78.43198	0	98.51306	13.7247	9.62419	98.56152	0	71.46136	8.24043	28.40903	3.50196	79.34579	95.00281	5.59274	73.71033	0	47.36723	8.04623	0	3.65059	88.7744	36.29047	23.15742	54.463	82.87386	0.12036	40.16507	36.55697	0	0	5.08072	37.58021	0	12.27093	11.58766	0	36.61937	2.54009	58.6561	52.28501	88.4118	71.65945	20.68865	0.11644	0	8.07178	23.06667	0.69121	0.02888	20.44473	99.73923	11.52188	74.57441
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	5.22266	0.79033	0	13.16207	0	0	24.16241	37.30015	3.95716	0	0	1.0304	0.21751	0.05908	0	0.50368	0.47134	1.85121	16.93382	0.03629	20.92017	16.80212	0.21745	0.19837	0.22755	96.92028	8.31701	0.05774	0	4.98134	0.06282	69.84848	0	6.40742	5.49651	29.99895	0.81747	8.32467	0.9317	0.29003	0.76457	0.05327	1.61718	8.65364	1.10982	0	12.06597	4.49319	22.10787	0.37766	0.01576	0	0	3.40232	31.04349	0.44046	5.20605	84.52243	0	0	0.61413	1.22066	0.09254	9.1477	65.02418	1.21524	2.8118	0.04549	0.47421	0.86235	6.346	0.02204	0	0.88045	19.60834	2.80302	0.02346	15.42145	0.01126	3.37094	0.35268	0	0	9.84646	6.29919	0.03616	0.25687	0.65032	0	27.86194	0.16297	12.61373	0	0.13665	0.7256	0	0.6117	13.7176	11.77034	33.10622	1.06581	23.03393	1.01255	5.86472	23.8167	0.02179	0	0	0	4.71324	0	0	27.13999	0.26077	0	3.85459
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	4.83176	0.98853	0	0	0	0	0	0	11.34479	0	0	0	0	4.01911	0	0	1.13372	2.94524	0	0.00368	0	0.83888	1.58441	0	0	0	0	9.54449	0	0	0.05989	0	0	0	0	39.87615	5.08341	1.8547	0	0.4408	11.32357	0.11306	0.75841	0	8.61134	0	9.86856	26.28948	0	0.77888	0.0136	0	0	0	0	1.42562	0	0	0	2.60089	0	0	1.23471	0	0	0.26456	37.04543	0.33594	0	0.23389	0	0.33128	0.1353	1.02565	0.14596	1.00855	1.72789	0	0	43.51421	2.67433	0	0	0.31319	1.88042	0.62081	1.08455	0	0	0	0	2.89685	0	3.69039	3.83129	0	1.50643	14.49318	20.31561	0	0	0	9.8607	4.11476	0	0.31764	0	0	0	0	0	0	0	0	0	5.36577
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	3.19298	74.40958	0	64.61023	16.19158	10.72812	27.86829	0	48.55997	87.72108	0	56.73643	0.61283	5.20615	95.19334	0	21.44138	52.07008	82.90519	0.08267	34.78859	0	0.99	81.13709	99.77245	0	84.49313	21.92247	93.38632	92.96362	0.39626	0	100	2.37505	75.72492	0	2.74019	35.71009	99.02719	0.59795	10.92374	0.29445	79.58906	89.76131	12.09032	100	8.75208	0	0	8.03229	0.18848	54.98404	0	95.87022	1.81631	1.27586	49.21217	0	97.87841	5.05886	95.26479	94.18028	0.63196	4.06257	0	0	0	0.09905	0	98.90376	11.76986	0.19983	23.67749	0.02503	0	0	0.39687	0	0	4.48305	0.13478	0.00799	0.47104	0.13906	0	0.03644	0.07307	14.08514	99.87964	0	62.54669	84.48942	0	0.67407	4.69681	100	0.04618	56.02919	60.02429	29.87292	96.3941	13.50715	5.96631	1.60872	0	2.64086	99.88356	0	91.92822	72.13942	99.30879	99.97112	48.98269	0	88.47812	0
k__Bacteria|p__Firmicutes|c__CFGB1872|o__OFGB1872	0.83091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00068	0	0	0	0	0	0	0	0	0	0	0.05521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	0.7777	0	0	9.36502	3.76049	0	0	0	5.77297	0	0	0	1.42274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48962	0	0	0	0	0.17138	0	0	0	0.87126	0.00419	0	0	0	0	0	0	1.33518	0	1.85309	0	0	0	0	0	0	1.59007	7.10594	0	0	0	0.06113	0	0	0	0	0	0	0	0	0	0.20418	0	0	2.93794	0	0	0	0	0	2.291	0	0	0.40537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.63927
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	0.23471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00468	0	0	0	0	0	0	0	0	0.00694	0	0	0	0	0	0	0	1.4547	0	0	0	0	0	0	0	0.00072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01421	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1705|o__OFGB1705	0.0823	0	0	0	0.44347	0	0	0	0	0	0	0	0	0.10131	0	0	0	0	0	0	0	0.22741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97599	1.3908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35868
