#mpa_vJun23_CHOCOPhlAnSGB_202307																																																																																																																				
clade_name	SRR22212915	SRR22212916	SRR22212917	SRR22212919	SRR22212920	SRR22212921	SRR22212922	SRR22212927	SRR22212929	SRR22212932	SRR22212934	SRR22212935	SRR22212936	SRR22212938	SRR22212939	SRR22212940	SRR22212941	SRR22212944	SRR22212945	SRR22212946	SRR22212947	SRR22212950	SRR22212951	SRR22212953	SRR22212954	SRR22212957	SRR22212958	SRR22212960	SRR22212967	SRR22212971	SRR22212972	SRR22212973	SRR22212974	SRR22212977	SRR22212978	SRR22212981	SRR22212982	SRR22212984	SRR22212985	SRR22212987	SRR22212988	SRR22212990	SRR22212993	SRR22212994	SRR22212996	SRR22212997	SRR22213000	SRR22213002	SRR22213003	SRR22213004	SRR22213005	SRR22213008	SRR22213011	SRR22213015	SRR22213018	SRR22213019	SRR22213021	SRR22213022	SRR22213025	SRR22213030	SRR22213032	SRR22213034	SRR22213035	SRR22213037	SRR22213038	SRR22213040	SRR22213043	SRR22213044	SRR22213046	SRR22213049	SRR22213051	SRR22213053	SRR22213054	SRR22213055	SRR22213059	SRR22213065	SRR22213066	SRR22213068	SRR22213073	SRR22213074	SRR22213075	SRR22213078	SRR22213079	SRR22213080	SRR22213082	SRR22213083	SRR22213084	SRR22213085	SRR22213087	SRR22213088	SRR22213090	SRR22213091	SRR22213093	SRR22213094	SRR22213096	SRR22213098	SRR22213099	SRR22213101	SRR22213103	SRR22213104	SRR22213105	SRR22213107	SRR22213108	SRR22213109	SRR22213110	SRR22213114	SRR22213116	SRR22213117	SRR22213119	SRR22213122	SRR22213123	SRR22213124	SRR22213125	SRR22213126	SRR22213129	SRR22213131
UNCLASSIFIED	6.1483	33.79326	28.78023	26.78351	27.14784	29.17702	15.26643	17.14755	21.48929	11.16985	19.78204	19.91954	26.52455	0	25.42626	24.01623	25.24285	26.2422	25.29741	5.58396	5.87341	0	12.46631	12.37026	16.02199	0	14.10697	23.41842	41.57665	27.51568	2.23753	0	23.14585	24.2291	27.04279	27.50078	20.05872	40.30145	27.12412	2.83154	17.96554	14.31525	1.78169	5.78202	12.76456	10.16136	9.70671	27.68932	62.37143	0	17.47029	11.41297	0	23.77946	0	14.00305	12.86188	0	11.07437	0	11.22841	9.2251	12.04318	22.34487	0	0	15.42073	12.80045	32.52334	19.5536	0	1.71687	0.13244	13.54399	0	0	5.54602	19.42467	0	16.72335	12.25852	1.25472	14.72821	15.6353	0	8.92721	13.13897	17.52125	25.76179	14.98092	31.596	8.77002	15.56763	10.78942	5.11615	9.31466	11.78849	3.5699	6.6314	7.47615	3.81446	20.07877	19.32571	25.32984	20.24957	10.42569	0	0	17.11267	7.79639	8.2226	10.06051	11.37526	28.46626	8.37733	19.89692
k__Bacteria	93.85170134	66.20674364941954	71.21977085017264	73.21648604894744	72.85216134216486	70.82298182920216	84.73356669946784	82.85245403590284	78.51070597610355	88.83015439917673	80.21795771986342	80.08045631217675	73.47545196971383	100	74.57373660620759	75.98376912701991	74.75715463115564	73.75779521341047	74.70259242181196	94.41603909325777	94.12659482748312	100	87.53369277609318	87.62973598649432	83.97801123636465	100	85.89303120674872	76.58158173016338	58.42334532984446	72.48431570762351	97.76246536940651	100	76.85415016098874	75.77089855	72.95720972	72.49921551	79.94127532995557	59.69855354718814	72.87587511628006	97.16845574639753	82.03446267537898	85.68474577761495	98.21831003194734	94.21798232161088	87.23544475287409	89.83864318092087	90.29328969817348	72.31068288048309	37.62856681987201	100	82.52971260424752	88.58703222730145	100	76.22054402972948	100	85.9969505	87.13812267110279	100	88.92562955864265	100	88.77158812755205	90.77489570559194	87.95681812508082	77.65512838884136	100	100	84.57926632833981	87.1995532	67.47666131631524	80.44639672116439	100	98.28313483	99.86755513133164	86.45600923327206	100	100	94.45397553540738	80.57532739117113	100	83.27664679970047	87.74148294625813	98.74528211893184	85.27178546039427	84.36470357736077	100	91.07278626078326	86.86102955879545	82.47875232579938	74.23820619754787	85.01907811	68.40399833225959	91.22997754454391	84.43236615461352	89.21058295	94.88384612982564	90.68533513392984	88.21150909337993	96.43010395740068	93.36859575457852	92.52385089457444	96.18553544	79.92123135	80.67428898665285	74.67016346	79.75043199037292	89.57430549907485	100	100	82.88732653	92.20361461637596	91.77740246432418	89.93948927244297	88.62473943	71.53374226366698	91.62267188061304	80.10307925121424
k__Bacteria|p__Actinobacteria	80.34144860642533	15.764858488127722	69.51540339198007	16.048255682231346	56.38053536004995	63.01650449248199	37.79723767133834	46.043859409225206	28.372261734209083	10.907383594551392	72.80775167932909	33.82051525109734	64.78922812312545	31.56216	3.5845059679559377	58.37284379215842	2.5538838193713915	31.227354064068088	0	15.880390669725674	39.00656918012108	0.24212	2.4920842333353725	16.355687125093628	0	0	6.175588693521544	0.015247393	3.8639331054108568	0	16.046603974529404	30.0933	0	65.72438207412944	0	15.0725579	29.660787256479143	32.253958389896226	0	14.82368923592087	63.15678236242971	21.57852934307517	17.71402580017782	0	68.20809444414542	0	46.88408638811693	47.41391229482069	0	15.60674	7.116297781697711	38.12260545961946	0	0	48.161	2.092563796593093	39.69954486353254	0	0	11.1473	3.417839300292945	0	18.01621264792393	64.17442330041082	7.23996	98.51306	15.58193674055045	9.233046211466888	66.54727152167497	0	71.46136	8.316994061672055	28.60123888890579	3.083375758896338	79.37148	95.00281	8.316096376641854	59.39233971861263	0.22395	39.44584082590176	7.741790780428436	2.901077141484946	3.2678876885557817	74.89425941258055	36.39012	21.30652388210337	47.87315242772666	70.24291394801378	0.089353105	34.26930296096183	25.28371843716412	0	0	9.085964057700515	38.26422611769776	0	10.943493354671986	11.173992584230136	0	34.04722272850836	2.443199167214563	46.87867738176546	42.37976908589509	66.01723557379265	57.148720936925294	19.15289444840933	0.11644	0	6.690482645261141	21.268303511631206	0.6343745835736552	0.025974525	18.11908868981596	71.34720372396602	10.55665430687798	64.31184657871516
k__Bacteria|p__Firmicutes	10.293297966475697	1.1777252800820643	1.7043674581925663	9.862890332573242	4.675717281885349	0.2084957762069882	23.322532932978376	36.80859462667764	12.013668973110375	0	7.410206040534332	0.8251490218406692	8.235944234	23.54824	0	4.762784222912211	55.45433400530884	4.124698175483384	12.770266239583153	28.52266997950116	22.37471049186773	99.69113	48.32816584502386	0.1738311072764088	0.1910919645683477	100	7.143731994768412	59.10599408014154	0	3.610690212070133	38.66462489875265	69.9067	0	8.246912175585914	17.710421026236666	50.686115540146666	14.335493180926882	6.126187956892835	0.7089438007186839	35.513982288603934	9.916440696447555	63.80505169008061	2.3332643512879376	8.153285005375848	8.480297161138493	0	19.93402247867885	24.89677058566239	37.62856681987201	1.64863	32.53189223	1.7556975330096647	100	3.1477407832309625	50.02269	34.95522347	4.556016744	99.91577	1.8866372641532063	9.53574	0.7856818178817121	5.282844760357476	20.800749596127737	9.196261986371503	92.76004	1.48694	51.40984082613469	50.54930195411282	0.929389795	0.8818855794160926	10.13261	22.714844301476948	0.20564727	47.31218649	20.52809	4.99719	34.23194369575948	20.16190489372662	99.77605	40.097480587109416	23.43410932921445	95.83630535487735	45.548205600561616	9.353126607985532	63.60988	25.555652227000984	19.72533200522755	0.6185906424434953	0	50.74977514495676	0.335843111	14.15029865102852	0	39.98889359748664	13.819841677193716	0	50.43246922303626	31.22710521	37.32475906992262	30.83705220741057	1.0251550552968411	22.24747336776328	29.397452749011546	7.4516940279911985	22.60171105344763	30.35649924044217	0	100	0	4.400915407085472	0	0	27.094869362250986	0.1865385397009643	0	15.791232672499072
k__Bacteria|p__Proteobacteria	3.216945381651541	49.26415988120975	0	47.30534003414286	11.795915985445696	7.597974478215003	23.613796095151127	0	38.12477526878409	77.92277080462534	0	45.43479203923874	0.4502796123059973	6.45536	70.98923063825166	0	16.028965601653677	38.405742973859006	61.932326182228806	1.004284524627164	32.74531515549431	0	2.3800673666898065	71.10021775412429	83.78691927179631	0	72.57371051845875	17.448125494813407	54.55941222	67.38404381403544	3.7533747804345503	0	76.85415016098874	1.799596726080307	55.24678869763104	6.740542062536325	7.027077925329085	21.31840720039908	72.16693131556137	1.548311324399822	8.961231413055444	0.2533869302135629	78.1710297	86.06469731623504	10.547044424045684	89.83864318092087	8.003389524279793	0	0	8.03229	1.6840848094597538	48.708729234672326	0	73.07280324649852	1.81631	1.103177480749429	42.88256106371165	0.08423	87.03899229448945	5.05886	84.56806701	85.49205094523447	1.8633036222071493	4.284443102059028	0	0	17.58748876165468	0.087155953	0	79.56451114	11.76986	3.296101836000267	23.89372202214713	1.829659877802813	0.08917	0	7.092416787387991	1.0210827788318768	0	3.733333714353973	24.87149907698835	0.007889748	1.8864847640973943	0.1173175567946778	0	1.5749034782504727	0.6918046699210264	11.61724774	74.14885309	0	42.78443678448358	77.07967889	84.43236615461352	4.752417253915533	4.456513973410264	90.68533513392984	1.460712021379097	54.02900616348954	56.04383668	27.639575958655502	92.71718121971948	10.795080600263455	8.766132780720888	1.2012338535384608	0	3.350580641776194	99.88356	0	76.19684388322626	66.51515280328884	91.14302788075052	89.91351474794108	43.410781378661454	0	81.06601757373507	0
k__Bacteria|p__Actinobacteria|c__Actinomycetia	80.33850166300326	15.764858488127722	69.51540339198007	16.048255682231346	56.38053536004995	63.01650449248199	37.49572174759496	46.043859409225206	28.372261734209083	10.907383594551392	72.80775167932909	33.82051525109734	64.78922812312545	22.47634	3.5845059679559377	58.37284379215842	1.6376825593583373	31.227354064068088	0	15.218893016630492	39.00656918012108	0.24212	2.3580263828487857	16.355687125093628	0	0	6.175588693521544	0.015247393	3.8639331054108568	0	12.973343113176742	30.0933	0	65.72438207412944	0	15.0725579	29.52814869245168	32.253958389896226	0	14.633890091311432	63.15678236242971	20.873249632105047	17.71402580017782	0	68.20809444414542	0	46.699292141420656	46.90412921158157	0	13.88832	5.426873299832463	38.12260545961946	0	0	48.161	1.921335268446276	39.69954486353254	0	0	10.53358	3.417839300292945	0	17.609333202959117	64.17442330041082	7.23996	98.51306	15.58193674055045	8.393052915447365	66.54727152167497	0	71.46136	8.107149740507122	28.371403697526542	3.027654860945494	79.37148	95.00281	5.282565271358943	59.39233971861263	0.22395	39.44584082590176	7.059881523266705	2.901077141484946	3.116734921648687	74.89425941258055	36.39012	21.09457929391728	47.30997157	70.24291394801378	0.089353105	34.14797223459688	25.28371843716412	0	0	4.553397364409806	35.73759264426047	0	10.829726971394251	11.173992584230136	0	34.04722272850836	2.443199167214563	46.87867738176546	42.32534621054469	66.01723557379265	57.148720936925294	18.539946433309712	0.11644	0	6.690482645261141	21.268303511631206	0.6343745835736552	0.025974525	18.11908868981596	71.34720372396602	10.55665430687798	64.31184657871516
k__Bacteria|p__Firmicutes|c__Bacilli	4.901555265189161	0.5232517570844574	1.7043674581925663	9.862890332573242	4.352639802	0.2084957762069882	20.918523018721093	36.80859462667764	3.106794252603979	0	7.410206040534332	0.8251490218406692	8.235944234	0.05908	0	4.762784222912211	0.352360373	1.9523540877399328	12.770266239583153	0.034263581	21.66477006304093	82.30867	0.1903420149416146	0.1738311072764088	0.1910919645683477	100	7.143731994768412	0.044218205	0	3.610690212070133	0.061414381	69.9067	0	8.246912175585914	17.710421026236666	21.776219615801377	0.6534959434397879	4.969707577576706	0.7089438007186839	0.2818176722012768	0.627210891	0.045644264	1.5883668661746462	8.153285005375848	0.9681564129563472	0	10.894761246994705	5.886668071934367	37.62856681987201	0.86975	0.013006683	1.7556975330096647	100	3.1477407832309625	50.02269	0.3787821681861644	4.556016744	99.91577	0.8792343771351675	0	0.7856818178817121	5.282844760357476	0.081395239	7.366334416914137	91.36924	1.22237	2.378199810620259	0.039667077	0.929389795	0.6937295021249611	10.13261	0.021661603	0.070526467	0.7612019332943438	20.38213	3.96413	0.022158903	20.16190489372662	99.77605	3.177295543672372	0.3094466620548631	95.74887628208926	0	9.088904792851595	61.72946	0.03293192	0.2231199266276778	0.6185906424434953	0	50.74977514495676	0.335843111	11.50750305	0	0.1219062616027507	0.6884771875180149	0	0.5395898011242051	13.41278137877792	18.356359293945893	30.83705220741057	1.0251550552968411	22.24747336776328	0.8219419259116139	4.379196010196979	22.60171105344763	0.019518241	0	100	0	4.400915407085472	0	0	27.094869362250986	0.1865385397009643	0	6.769887711992596
k__Bacteria|p__Firmicutes|c__Negativicutes	4.534688964652185	0.6544735229976069	0	0	0	0	0	0	8.906874720506398	0	0	0	0	4.01911	0	0	0.8475368134843378	2.172344087743451	0	0.00347451	0	0.83888	1.386892581713698	0	0	0	0	7.3093214100772705	0	0	2.230871026004098	0	0	0	0	28.90989592434529	4.069162802717866	1.1072290726396985	0	1.2542698604656486	9.289229805170413	0.096875174	0.7448974851132919	0	7.512140748182147	0	8.91064747	19.010102513728025	0	0.77888	1.6567509686452273	0	0	0	0	1.8486334464909144	0	0	0	4.11729	0	0	1.0860116290721853	0	0	0.26456	31.3327529	0.2929381790353968	0	0.1881560772911313	0	0.3364723120735107	0.1351208020926917	0.8867360587010548	0.14596	1.00855	1.6341765669307438	0	0	36.23717496937994	2.351357679031888	0	0.000545739	0.2642218151339362	1.88042	0.5653889643855685	0.942051296	0	0	0	0	2.642795604499121	0	19.152753869657484	3.635275308387397	0	1.3288446364354032	13.975788540733204	18.968399775976728	0	0	0	9.470467728	3.0724980177942203	0	2.614665020087445	0	0	0	0	0	0	0	0	0	4.298146995537879
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2.9966660534370777	49.26415988120975	0	47.30534003414286	11.795915985445696	7.597974478215003	23.613796095151127	0	38.12477526878409	77.92277080462534	0	45.43479203923874	0.4502796123059973	5.20615	70.98923063825166	0	16.028965601653677	38.405742973859006	61.932326182228806	0.07805374	32.74531515549431	0	0.8735862539054099	71.10021775412429	83.78691927179631	0	72.57371051845875	16.819513239339535	54.55941222	67.38404381403544	0.4025565036516052	0	76.85415016098874	1.799596726080307	55.24678869763104	6.740542062536325	2.202502047253271	21.31840720039908	72.16693131556137	0.5866254010321512	8.961231413055444	0.2533869302135629	78.1710297	86.06469731623504	10.547044424045684	89.83864318092087	7.902540949015901	0	0	8.03229	0.1555520023164857	48.708729234672326	0	73.07280324649852	1.81631	1.0972006926894604	42.88256106371165	0.08423	87.03899229448945	5.05886	84.56806701	85.49205094523447	0.5558519078232607	3.1547939493865527	0	0	17.58748876165468	0.087155953	0	79.56451114	11.76986	0.3928671748361163	23.64613037946553	0.05740679	0.02283	0	0.3795349644963739	1.0210827788318768	0	3.733333714353973	8.047376817233662	0.007889748	0.440565207	0.1173175567946778	0	0.033186923	0.063469354	11.61724774	74.14885309	0	42.78443678448358	77.07967889	84.43236615461352	0.6200135515105141	4.456513973410264	90.68533513392984	0.072836243	54.02900616348954	56.04383668	27.639575958655502	92.71718121971948	10.795080600263455	4.817094065108637	1.2012338535384608	0	2.365532004202868	99.88356	0	76.19684388322626	66.51515280328884	91.14302788075052	89.91351474794108	43.410781378661454	0	81.06601757373507	0
k__Bacteria|p__Firmicutes|c__CFGB1872	0.7798231716018899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000508349	0	0	0	0	0	0	0	0	0	0	0.042280691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014301293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.039604517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
